Date,open,high,low,close,adjclose,volume,ingested_at_utc
2016-01-04,25.65250015258789,26.342500686645508,25.5,26.337499618530273,23.730947494506836,270597600,2026-03-09 06:50:08.447594+00:00
2016-01-05,26.4375,26.462499618530273,25.602500915527344,25.677499771118164,23.136266708374023,223164000,2026-03-09 06:50:08.447594+00:00
2016-01-06,25.139999389648438,25.592500686645508,24.967500686645508,25.174999237060547,22.68349838256836,273829600,2026-03-09 06:50:08.447594+00:00
2016-01-07,24.670000076293945,25.032499313354492,24.107500076293945,24.112499237060547,21.726152420043945,324377600,2026-03-09 06:50:08.447594+00:00
2016-01-08,24.637500762939453,24.77750015258789,24.190000534057617,24.239999771118164,21.841028213500977,283192000,2026-03-09 06:50:08.447594+00:00
2016-01-11,24.74250030517578,24.764999389648438,24.334999084472656,24.63249969482422,22.194686889648438,198957600,2026-03-09 06:50:08.447594+00:00
2016-01-12,25.137500762939453,25.172500610351562,24.709999084472656,24.989999771118164,22.516807556152344,196616800,2026-03-09 06:50:08.447594+00:00
2016-01-13,25.079999923706055,25.297500610351562,24.325000762939453,24.34749984741211,21.937891006469727,249758400,2026-03-09 06:50:08.447594+00:00
2016-01-14,24.489999771118164,25.1200008392334,23.934999465942383,24.8799991607666,22.417694091796875,252680400,2026-03-09 06:50:08.447594+00:00
2016-01-15,24.049999237060547,24.427499771118164,23.84000015258789,24.282499313354492,21.87932586669922,319335600,2026-03-09 06:50:08.447594+00:00
2016-01-19,24.602500915527344,24.662500381469727,23.875,24.165000915527344,21.77345085144043,212350800,2026-03-09 06:50:08.447594+00:00
2016-01-20,23.774999618530273,24.547500610351562,23.354999542236328,24.197500228881836,21.80274200439453,289337600,2026-03-09 06:50:08.447594+00:00
2016-01-21,24.264999389648438,24.469999313354492,23.735000610351562,24.075000762939453,21.692363739013672,208646000,2026-03-09 06:50:08.447594+00:00
2016-01-22,24.657499313354492,25.364999771118164,24.592500686645508,25.354999542236328,22.845685958862305,263202000,2026-03-09 06:50:08.447594+00:00
